Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Complaint ID
2026-06-04T13:18:09.000Z,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,None,"I sent XXXX Ethereum from a crypto wallet and transferred several XXXX dollars from my XXXX bank account to my account at XXXX cryptocurrency exchange. I used the cash to make a few small bitcoin purchases but then XXXX froze my account. The worst part is Ive tried about XXXX times to get a hold of someone to help me understand what is going on. Effectively they have taken about XXXX XXXX dollars from me and locked it away, and will not even send me an email with any answers at all. Its been about XXXX  days, nothing.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Payward Ventures Inc. dba Kraken,TX,78746,None,Web,2026-07-22T12:59:01.000Z,Closed with explanation,Yes,22887453
2026-06-12T11:58:04.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"Failure to Investigate Unauthorized Electronic Fund Transfer Under EFTA.

I am filing this formal complaint against PayPal for their repeated refusal to investigate and reverse a fraudulent, unauthorized transfer of {$500.00} from my account on XX/XX/year>. 

The funds were unlawfully routed to an entity known as "" XXXX XXXX XXXX XXXX. '' Corporate filings confirm this entity is owned by an individual named XXXX XXXX, who is currently the subject of an active criminal investigation for identity theft, forged checks, and extensive property vandalism ( XXXX XXXX  XXXX. Report # XXXX ). 

I did not authorize this transaction. On the date the transfer occurred, I was out of the country residing in XXXX, XXXX. The perpetrator gained unauthorized access to my local hardware in XXXX, Georgia, to execute this transfer, deliberately moving the automated PayPal alert emails into my "" Deleted Items '' folder to conceal the theft. 

Crucially, PayPal 's own internal IP access logs ( attached ) prove this unauthorized access. The logs clearly show two distinct IP addresses accessing my account concurrently : one IP address originating from my physical location in XXXX, and a second, unauthorized IP address originating from the United States. It is physically impossible for me to have authorized a transfer from the United States while logged in from XXXX. 

Despite having this irrefutable data, PayPal has flatly denied my online fraud claims. Furthermore, I formally served PayPal with a physical dispute letter containing all of this evidence. I possess the signed delivery confirmation proving their receipt of this package, yet PayPal has completely ignored the correspondence. They have failed to provide any response, let alone conduct a reasonable, human-led investigation as required by the Electronic Fund Transfer Act ( EFTA ) . They are relying instead on automated rejections while actively ignoring certified legal correspondence and their own system data.

I have attached all law enforcement, locational, and technical server log evidence proving this transaction was unauthorized, alongside the proof of delivery for the ignored dispute letter that contains detailed the details I mention in this complaint. I am requesting the CFPB intervene to compel PayPal to honor their regulatory obligations, reverse the {$500.00} charge, and restore the stolen funds immediately.",None,"Paypal Holdings, Inc",GA,30316,None,Web,2026-06-12T12:36:44.000Z,Closed with monetary relief,Yes,23150302
2026-06-12T12:51:10.000Z,"Money transfer, virtual currency, or money service","Money order, traveler's check or cashier's check",Fraud or scam,None,"On XX/XX/year>, I deposited a money order into my personal checking account through Citibank and it was cashed via mobile banking. Within 24 hours, my account was closed. I did not fill out the money order correctly, so they stated they couldn't verify me. I've spoken to the fraud department, submitted the money order receipt, front copy, my ID, and SSN with no resolution. In addition, I spoke to XXXX XXXX, filled out their fraud affidavit and copies of the money order and ID as well. No resolution there either since the money order had been cashed. Its going on a year now with no sign of getting my funds back.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",CA,93727,None,Web,2026-06-12T13:07:09.000Z,Closed with explanation,Yes,23150719
2026-06-12T13:28:15.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"Through the evening of XX/XX/XXXX and into the morning XX/XX/XXXX my PayPal account was used to make three unauthorized XXXX transactions totaling approximately {$1200.00}. The transactions were processed in multiple currencies, including U.S. Dollars, XXXX, and XXXX  XXXX. ( XXXX XXXX, {$390.00} USD, XXXX XXXX  ) At the time of the transactions, my PayPal account had two-factor authentication enabled. I did not authorize these transactions, did not make any travel reservations, and did not receive any accommodations, services, or benefit from the charges. I have no corresponding reservations in my XXXX account and did not receive any XXXX confirmation emails.

The transactions were funded through my linked bank account, and one transaction was charged to my backup company XXXX XXXX card. After discovering the unauthorized activity, I immediately reported it to PayPal and disputed the transactions. I also worked with my bank to stop the two charges that hadn't gone through yet. But I now have a negative balance on my PayPal for the two charges and my credit card was used for the other one.

PayPal denied my unauthorized transaction claim and denied my multiple appeals. PayPals stated reason was that the transactions were consistent with my transaction history. However, I do not believe this conclusion adequately addresses the fact that I did not authorize the transactions, did not receive any services, and have no record of any reservations associated with these charges. They also denied my appeals saying "" the decision was made because our records show that the item or service associated with this transaction was delivered to you. '' My claims and appeals were denied on XX/XX/year>, XX/XX/year>, XX/XX/year>. XX/XX/year>, XX/XX/year> As a result, PayPal has held me responsible for these transactions and my account now reflects a negative balance of {$830.00}. And was charged {$430.00} on my company XXXX XXXX. 

I am requesting that PayPal conduct a thorough review of the account access records, authentication logs, device information, and XXXX reservation details associated with these transactions. I am also requesting that PayPal provide the evidence it relied upon to determine that the transactions were authorized and remove liability for charges that I did not authorize or benefit from.

Under the Electronic Funds Transfer Act PayPal is required to have the same level of consumer protection as any financial institution when doing business electronically.",None,"Paypal Holdings, Inc",CA,925XX,None,Web,2026-06-12T13:55:01.000Z,Closed with non-monetary relief,Yes,23151682
2026-06-12T13:56:07.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"First, XX/XX/XXXX hard hit on credit by capital one that I did not initiate. Stolen identity. Capital one stopped it, XXXX XXXXXXXX contacted and taken care of by me. Then a XXXX trans attempt on XXXX from my XXXX savings. I contacted and stopped the transfer. Went to branch and established new accounts. Changed password for my online and froze credit. Nothing since. Was just informed that I had to file a report with you all for identity theft because whoever used my ss #",None,CAPITAL ONE FINANCIAL CORPORATION,FL,32129,None,Web,2026-06-12T14:07:33.000Z,Closed with explanation,Yes,23151974
2026-06-12T12:58:10.000Z,"Money transfer, virtual currency, or money service",Virtual currency,Fraud or scam,None,"ID FOR COMPLAINT SENT TO XXXX XXXX, XXXX XXXX CFPB CORRECTION / ADDITIONAL INFORMATION NOTE ( FINAL NOTHING REMOVED, EVERYTHING INCLUDED ) I am submitting this correction to my existing complaint to ensure the CFPB has a complete and accurate record of the unauthorized access, identity compromise, and digital asset manipulation affecting my accounts. This update includes additional evidence, screenshots, and clarification regarding a Bitcoin address I referenced, along with all previously listed compromised platforms, emails, domains, and wallet identities.

1. Clarification About the Bitcoin Address XXXX The Bitcoin address XXXX is a historic address belonging to XXXX XXXX, who received the first peertopeer Bitcoin transaction ( XXXX BTC from XXXX XXXX on XX/XX/XXXX, Block XXXX ). 
This address is NOT mine.

It is NOT connected to my mining reward.

I am including it only to clarify that : My first transaction was NOT a peertopeer transfer.

My first transaction was a mining reward of approximately XXXX BTC  on XX/XX/XXXX. 
My mining reward is separate and independent from the XXXX transaction. 
Any confusion between these two chains should be disregarded.

2. My Mining Reward and Identity Pattern ( XXXX ) While reviewing contract and mining pool data, I found an address containing XXXX, which matches my longstanding identity pattern used across : emails domains wallet identifiers transaction logs Clicking this identifier revealed a wallet address tied to my mining activity, confirming : It belongs to my chain, not the XXXX XXXX chain My mining reward metadata was altered or misrepresented My identity markers were embedded in unauthorized wallet activity 3. Evidence From Screenshots ( Uploaded ) Screenshot # 1 XXXX XXXX Reward Log Shows multiple mining rewards between XX/XX/XXXX XX/XX/XXXX, all labeled Mining Reward, credited to a wallet ending in XXXX, matching my identity pattern. 
Screenshot # 2 CoinTracker Portfolio Dashboard Shows : XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX, XXXX Unrealized returns and tax summaries for XXXX Portfolio value showing {$0.00} despite asset listings Tax summary showing {$0.00} realized gains, inconsistent with mining rewards These screenshots support my claim that my portfolio data, balances, and tax records were altered or suppressed. 
4. Compromised Phone Number My former phone number XXXX was reassigned and used to intercept : verification codes password reset codes login alerts recovery messages This contributed to unauthorized access across multiple platforms. 
5. Compromised Emails ( Full List ) XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX 6. Compromised Domains / Digital Identities XXXX XXXX XXXX XXXX XXXX XXXX These domains and identities were used for unauthorized account recovery, identity linkage, and cryptorelated activity.

7. Additional Compromised Platforms ( Full List ) Please add the following platforms to my complaint, as they show unauthorized access, identity linkage, or unexplained internal ledger activity : XXXX XXXX XXXX XXXX XXXX  accounts XXXX XXXX ( XXXX ) XXXX  Unstoppable Domains Coinbase XXXX XXXX XXXX XXXX XXXX XXXX 8. Summary of Unauthorized Activity Across all platforms, I experienced : unauthorized access identity compromise altered transaction metadata suppressed balances internal ledger entries with no blockchain XXXX  mismatched timestamps unauthorized recovery changes device compromise domain and wallet identity manipulation 9. Request Please add this correction to my existing complaint so the CFPB has : the correct transaction history the correct mining reward information the correct identity linkage the correct list of compromised platforms the screenshots I provided the clarification regarding the historic Bitcoin address the compromised phone number the mining pool address connection ALL previously submitted information, with NOTHING removed This correction is submitted to prevent any misunderstanding and to ensure the investigation proceeds with complete information. 
Sincerely, XXXX",None,"Coinbase, Inc.",CA,94605,None,Web,2026-06-12T13:11:56.000Z,Closed with explanation,Yes,23150819
2026-06-12T16:32:14.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Unauthorized transactions or other transaction problem,None,"I am disputing an unauthorized {$600.00} PayPal payment to XXXX XXXX. I do not know this person, did not send the payment, and did not authorize anyone to send it. The payment was connected to my XXXX  XXXX account and drafted from my linked XXXX XXXX  account. When I discovered the debit, I immediately placed a stop payment with XXXX XXXX. PayPal first denied my claim by treating it as a Purchase Protection issue because it was a personal payment. I corrected PayPal that this was not a buyer/seller dispute, but an unauthorized transaction dispute. PayPal then denied it again, stating only that the transaction was consistent with my PayPal payment history. PayPal has not provided specific evidence that I authorized this {$600.00} payment, only conclusions.",None,"Paypal Holdings, Inc",TX,76048,Older American,Web,2026-06-12T16:40:06.000Z,Closed with monetary relief,Yes,23157992
2026-06-12T18:12:36.000Z,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Fraud or scam,None,"XX/XX/year> a wire transfer in the amount of {$6000.00} was made to Chase bank account # XXXX, XXXX XXXX XXXX ( XXXX # XXXX ) from XXXX XXXX. Within an hour, XXXX XXXX was contacted and asked to do a wire recall for the above wire transaction due to immediate problems with the receiving company, XXXX XXXX. 
XXXX XXXX claims that no response was made by Chase bank regarding the wire recall, therefore no refund would be made to my account. 
I then received a letter from Chase claiming that a wire recall wasn't received until XX/XX/year>, and that Chase was denying my request for a refund. 
I believe that the above Chase account has been used to defraud people dealing with XXXX XXXX, and that Chase is aware of fraudulent activity with this account. 
I am simply asking that Chase Bank, in good faith, refund my {$6000.00} knowing that this was an account being used to scam people online. 
I have requested the following from Chase bank with no reply : 1.What date and time was the wire recall received 2.Is this account still active 3.Has this account been flagged for suspicious activity/fraud 4.Have other complaints been made relating to this account",None,JPMORGAN CHASE & CO.,NC,281XX,None,Web,2026-06-12T18:30:02.000Z,Closed with explanation,Yes,23162329
2026-06-12T19:44:08.000Z,"Money transfer, virtual currency, or money service",International money transfer,Fraud or scam,None,"I received a call Tuesday afternoon around XXXX from someone claiming to be from Truist Fraud department. They stated that I had a wire transfer setup to be sent internationally in the amount of XXXX to the country XXXX to a company XXXX XXXX. So, I told them that was fraud and needed to be stopped. He said I would need to login to the Truist one view bank Account to stop the transfer. I logged in to the account, and I did not give him any information. He said he wanted to confirm the amount that was in my bank and I did not say anything about how much was, but he said the exact amount like he already knew. He wanted me to confirm the last few transactions showing up in the balance, so I did. He told me he was going to send me a message in the inbox on my banking online notifications, and I never received anything so he said I would have to log in to Truist One View we portal. I told him we set up an account in XXXX, but we don't log in to that and I did not have the password to do that. The Truist one view is a separate web site for File Transfers to vendors that companies can use to transfer money. We don't pay our vendors that way because we use XXXX XXXX XXXX  to do so. He kept telling me to try to log in so I could stop the transfer. And I never could log in to Truist XXXX XXXX. So he said let me send a code from Truist and you read it off to me so I can get the transfer of alleged {$18000.00} stopped. And I did give him the code and that must be when the transfer was set up. I realized this may be fraud and immediately unplugged my computer and hung up then called the Truist phone number about 5 minutes of being on the phone with the hacker and asked if there was a transfer showing for XXXX and she said no. I was transferred to another person in Truist fraud department and told him everything that was going on. The first attempt got blocked by Truist and showed to be fraud and the second attempt went through. 
At approximately XXXX XXXX, we received an email from Truist ( header Truist Alerts XXXX Tue, XXXX, XXXX at XXXX To : XXXX ) stating a wire transfer has been scheduled Payment ID XXXX account ending in XXXX scheduled date XX/XX/XXXX Recipient XXXX XXXXXXXX XXXX XXXX XXXX  payment amount {$49000.00}. 
At approximately XXXX XXXX, we received an email from Truist ( header Truist Alerts XXXX Tue, XXXX, XXXX at XXXX To : XXXX ) stating a wire transfer has been scheduled Payment ID XXXX Account ending in XXXX Scheduled date XX/XX/XXXX Recipient XXXX XXXX XXXX XXXX payment amount # XXXX. 
During this time, I am on the phone with Truist Fraud Department for approximately an hour. I dont recall the mans name but he assured me the transfer was stopped and a restriction would be on my bank account for outgoing transactions. I hung up the phone with him then a few minutes later around XXXX I received an email from Truist stating the wire transfer has been rejected Account ending in XXXX scheduled date XX/XX/XXXX Recipient XXXX XXXXXXXX XXXX XXXX payment amount {$45000.00} Reject reason XXXX I waited a few minutes expecting another email about the 2nd transfer being rejected and decided to call Truist Fraud again because we got another email around XXXX that a transfer had been scheduled for {$45000.00}. I didnt get his name because I was so XXXX  out but it was a different man and I told him that one transfer had been rejected according to our email and we never received an email about the other being rejected. He assured me that he was in the process of rejecting and reversing the transfer. He told me that the balance on my account would show the money deducted but after XXXX  it would be back in there. The XXXX transfer went through to the hacker and I was assured that they had the transaction stopped and it would be reversed. The amount is still not recovered from Truist and has not been put back in our account",Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,TN,38118,None,Web,2026-06-12T20:04:19.000Z,Closed with explanation,Yes,23166388
2026-06-12T20:04:26.000Z,"Money transfer, virtual currency, or money service",Mobile or digital wallet,Fraud or scam,None,"On XX/XX/year>, a transaction of {$7100.00} USD was processed through my PayPal account to a merchant operating under the business name Boxing Sports Entertainment ( Transaction ID : XXXX ). This transaction was the result of severe merchant misrepresentation and currency fraud. The entire service negotiation took place physically in XXXX XXXX, XXXX, where pricing is handled in XXXX XXXX. The merchant deliberately withheld written terms, never specified a USD rate, and never provided or obtained a signature on a contract. Based on the local context, any reasonable consumer would interpret a naked "" {$7100.00} '' invoice as XXXX XXXX  ( approx. {$400.00} USD ), not American dollars. 
Upon discovering the true currency, I immediately canceled services after only XXXX sessions and filed a formal dispute with PayPal on XX/XX/year> ( Case ID : XXXX ). I provided evidence that the merchant was operating under multiple false identities, using fabricated AI personas as staff, and collecting business funds through a California LLC entity that is legally "" XXXX SUSPENDED '' and barred from conducting business. 
PayPal summarily denied my dispute on XX/XX/year>. When I escalated the case to a phone supervisor, they confirmed the denial was an automated decision issued solely because PayPal 's Buyer Protection program does not cover service transactionscompletely ignoring the documented merchant fraud, identity manipulation, and lack of a binding contract. The supervisor explicitly instructed me to bypass PayPal and file a chargeback with my card issuer, confirming PayPal 's internal process failed to review the case on its merits. I am requesting that the CFPB compel PayPal to address their automated failure to protect consumers from predatory, unauthorized currency manipulation on their platform",None,"Paypal Holdings, Inc",NM,875XX,Servicemember,Web,2026-06-12T20:29:01.000Z,Closed with explanation,Yes,23167367
